Alfredton combined,Alfredton North,Alfredton South,Dreyers Rock,,,,,
Alpine Caswell combined,Alpine Caswell,Alpine Caswell - South George,Alpine George seaward,Alpine Nancy,,,,
Alpine George - Wairau combined,Alpine George landward,Alpine George to Jacksons,Alpine Jacksons to Kaniere,Alpine Kaniere to Springs Junction,Alpine Springs Junction to Tophouse,Wairau,Wairau 2,Wairau 3
Alpine Resolution - combined,Alpine Resolution - Charles,Alpine Resolution - Dagg,Alpine Resolution - Five Fingers,,,,,
Awatere - Vernon combined,Awatere Northeast 1,Vernon 1,Vernon 2,Vernon 3,Vernon 4,Barefell,,
Cape Foulwind combined,Cape Foulwind 1,Cape Foulwind 2,,,,,,
Chancet - Campbell Bank combined,Campbell Bank,Chancet,,,,,,
Clarence Northeast combined,Clarence Northeast,Elliott,,,,,,
Clarence Southwest combined,Clarence Southwest,Clarence Central,,,,,,
Cloudy combined,Cloudy 1,Cloudy 2,Cloudy 3,,,,,
Dry River - Huangarua combined,Dry River - Huangarua 1,Dry River - Huangarua 2,Dry River - Huangarua 3,,,,,
Edgecumbe - White Island combined,Edgecumbe 1987,Edgecumbe Coastal,White Island 1,,,,,
Edgecumbe North - Keepa combined,Edgecumbe North,Keepa,,,,,,
Fisherman combined,Fisherman 1,Fisherman 2,,,,,,
Hohonu combined,Hohonu,Hohonu North,Hohonu South,,,,,
Hokonui - Hillfoot combined,Hillfoot,Hokonui,,,,,,
Honeycomb Ridge - Pukeroro Ridge combined,Honeycomb Ridge,Pukeroro Ridge,,,,,,
Hope combined,Hope Conway,Hope Hanmer SE,Hope Hanmer SW,Hope Hope River,Hope Hurunui,Hope Kakapo-2-Hamner,Hope Seaward,Hope Taramakau
Hurunui Peak - Mt Arden combined,Mt Arden,Hurunui Peak,,,,,,
Jordan - Kekerengu - Needles combined,Jordan,Kekerengu 1,Needles,,,,,
Kairakau combined,Kairakau 2,Kairakau South,,,,,,
Karamea combined,Karamea,Karamea South,,,,,,
Landsborough 2 - McKerrow - Douglas Duplex combined,Landsborough 2,McKerrow - Douglas Duplex,,,,,,
Leader combined,Leader Central,Leader North,Leader South,,,,,
Madagascar - Barn combined,Barn,Madagascar,,,,,,
Maimai combined,Inangahua,Maimai,Maimai North,Maimai South,,,,
Matata combined,Matata,North Rotoma,,,,,,
Mokonui combined,Mokonui Northeast,Mokonui Southwest,,,,,,
Moonshine - Otaki Forks combined,Moonshine,Otaki Forks 1,Otaki Forks 2,,,,,
Motu o Kura combined,Motu o Kura North,Motu o Kura Ridge,,,,,,
Ohariu combined,Ohariu,Ohariu South 1,Ohariu South 2,,,,,
Omakere combined,Omakere Ridge,Omakere South,,,,,,
Otaheke combined,Otaheke North,Otaheke South,Shepherds Gully - Mana,,,,,
Pahaua - Kekerengu Bank combined,Kekerengu Bank,Pahaua,,,,,,
Paparoa West combined,Paparoa West,Paparoa West North,,,,,,
Pikikiruna combined,Pikikiruna,Pikikiruna Offshore,,,,,,
Pukehoko 1 combined,Pukehoko North 1,Pukehoko South 1,,,,,,
Pukeroro 2 - Uruti East - PorWest 1 combined,Pukeroro 2,Uruti East - PorWest 1,,,,,,
Pukerua - Shepherds Gully combined,Pukerua - Shepherds Gully 1,Pukerua - Shepherds Gully 2,Pukerua - Shepherds Gully 3,,,,,
Puketerata combined,Puketerata,Puketerata North,,,,,,
Rangefront - Wakarara combined,Rangefront,Wakarara,,,,,,
Raurimu combined,Raurimu,Raurimu South,,,,,,
Ruahine - Waiohau combined,Ruahine Central,Ruahine North,Waiohau North,Waiohau South,Ruahine South,,,
Saunders Road - Waipukaka combined,Saunders Road,Waipukaka,,,,,,
Surville - Ruby Bay - Moutere combined,Ruby Bay - Moutere,Surville,,,,,,
Tauranga 3 combined,Tauranga 3 North,Tauranga 3 South,,,,,,
Te Rapa combined,Hope Te Rapa,Te Rapa 1,Te Rapa 2,,,,,
Titri combined,Titri Central,Titri North,,,,,,
Turi combined,Turi Central,Turi North,Turi South,,,,,
Volkner 1 combined,Volkner 1 North,Volkner 1 South,,,,,,
Waewaepa combined,Makuri - Waewaepa,Waewaepa,,,,,,
Waimana combined,Waimana North,Waimana South,,,,,,
Waimea combined,Flaxmore - Waimea - Tahunanui,Waimea Offshore,,,,,,
Waiotahi combined,Waiotahi North,Waiotahi South,Waimana - Waikaremoana,,,,,
Wairarapa Needles combined,Wairarapa 1,Wairarapa 2,Wairarapa 3,Wairarapa Needles,,,,
Wakamarama combined,Wakamarama,Wakamarama Offshore,,,,,,
Wellington - Whakatane combined,Mohaka North,Mohaka South,Wellington Pahiatua,Wellington Tararua 1,Wellington Tararua 2,Wellington Tararua 3,Whakatane North,Whakatane South
Wellington Hutt Valley combined,Wellington Hutt Valley 1,Wellington Hutt Valley 2,Wellington Hutt Valley 3,Wellington Hutt Valley 4,Wellington Hutt Valley 5,,,
Wheao combined,Te Whaiti North,Wheao North,Wheao South,,,,,
